date;EBEV_GWh;Dadj_GWh
02/01/2010;0.000050;0.000059
04/01/2010;0.000101;0.000118
06/01/2010;0.000050;0.000059
07/01/2010;0.000050;0.000059
08/01/2010;0.000050;0.000059
09/01/2010;0.000000;0.000000
10/01/2010;0.000000;0.000000
11/01/2010;0.000101;0.000118
12/01/2010;0.000101;0.000118
13/01/2010;0.000101;0.000118
14/01/2010;0.000101;0.000118
15/01/2010;0.000050;0.000059
16/01/2010;0.000050;0.000059
17/01/2010;0.000101;0.000118
18/01/2010;0.000101;0.000118
19/01/2010;0.000101;0.000118
20/01/2010;0.000050;0.000059
21/01/2010;0.000101;0.000118
22/01/2010;0.000101;0.000118
23/01/2010;0.000050;0.000059
24/01/2010;0.000050;0.000059
25/01/2010;0.000101;0.000118
26/01/2010;0.000101;0.000118
27/01/2010;0.000101;0.000118
28/01/2010;0.000101;0.000118
29/01/2010;0.000151;0.000177
30/01/2010;0.000050;0.000059
31/01/2010;0.000050;0.000059
01/02/2010;0.000101;0.000118
02/02/2010;0.000050;0.000059
03/02/2010;0.000101;0.000118
04/02/2010;0.000050;0.000059
06/02/2010;0.000000;0.000000
07/02/2010;0.000000;0.000000
08/02/2010;0.000101;0.000118
09/02/2010;0.000101;0.000118
10/02/2010;0.000050;0.000059
11/02/2010;0.000101;0.000118
12/02/2010;0.000101;0.000118
13/02/2010;0.000050;0.000059
14/02/2010;0.000050;0.000059
15/02/2010;0.000050;0.000059
16/02/2010;0.000101;0.000118
17/02/2010;0.000050;0.000059
18/02/2010;0.000101;0.000118
19/02/2010;0.000101;0.000118
20/02/2010;0.000050;0.000059
21/02/2010;0.000050;0.000059
22/02/2010;0.000101;0.000118
23/02/2010;0.000050;0.000059
24/02/2010;0.000101;0.000118
25/02/2010;0.000101;0.000118
26/02/2010;0.000101;0.000118
27/02/2010;0.000050;0.000059
28/02/2010;0.000050;0.000059
01/03/2010;0.000151;0.000177
02/03/2010;0.000151;0.000177
